verbatimLabel	preferredLabel
UNABLE_TO_GEOREFERENCE	Unable to Georeference
Unable to Georeference	Unable to Georeference
REQUIRES_GEOREFERENCE	Requires Georeference
Requires Georeference	Requires Georeference
REQUIRES_VERIFICATION	Requires Verification
Requires Verification	Requires Verification
VERIFIED_BY_DATA_CUSTODIAN	Verified by Data Custodian
Verified by Data Custodian	Verified by Data Custodian
VERIFIED_BY_CONTRIBUTOR	Verified by Contributor
Verified by Contributor	Verified by Contributor